,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D3,D5
7.0,882143.0,939993.0,908908.0,844395.0,867031.0,908371.0,1870045.0,1881398.0,1893107.0,1831040.0,1669801.0,1923660.0,1886132.0,2023922.0,1939527.0,1822625.0,1827988.0,1926701.0,2009200.0,1963047.0,1953591.0,1991374.0,1886160.0,1973454.0,1691251.0,1785996.0,1684910.0,1572749.0,1688136.0,1738910.0,1595224.0,1651212.0,1601328.0,1680284.0,1706642.0,1659194.0,300289.0,293528.0,293620.0
7.5,927801.0,973462.0,940157.0,884384.0,911022.0,940668.0,1965665.0,1980500.0,1999559.0,1947546.0,1820909.0,2065259.0,1946383.0,2129310.0,2025738.0,1890342.0,1908091.0,1995398.0,2059019.0,2055240.0,2035545.0,2103223.0,2005072.0,2104239.0,1753632.0,1895056.0,1756626.0,1634749.0,1763872.0,1847663.0,1682123.0,1745180.0,1688778.0,1772686.0,1783411.0,1749290.0,306298.0,291177.0,293260.0
8.0,982882.0,1013507.0,965416.0,906771.0,919577.0,961708.0,2018098.0,2022518.0,2099862.0,2048589.0,1944974.0,2161695.0,2040311.0,2223182.0,2079536.0,1905135.0,1931375.0,2032015.0,2090043.0,2108651.0,2128094.0,2208316.0,2075018.0,2222858.0,1831899.0,1991227.0,1839607.0,1672834.0,1759116.0,1885883.0,1746617.0,1830444.0,1768457.0,1863963.0,1854866.0,1839287.0,305476.0,288980.0,298428.0
8.5,1048641.0,1044201.0,979154.0,921121.0,931669.0,959029.0,2078033.0,2093754.0,2173328.0,2115370.0,2053476.0,2247983.0,2162676.0,2332203.0,2132879.0,1912006.0,1931290.0,2040346.0,2141472.0,2154846.0,2192631.0,2243148.0,2126775.0,2333177.0,1943266.0,2084166.0,1865200.0,1720556.0,1763996.0,1907761.0,1786690.0,1888340.0,1807757.0,1948744.0,1932230.0,1920177.0,303369.0,290728.0,296556.0
9.0,1101397.0,1081865.0,993058.0,953186.0,954840.0,987118.0,2143377.0,2175210.0,2252741.0,2181502.0,2110538.0,2294462.0,2269019.0,2465932.0,2199987.0,1987533.0,1988671.0,2093254.0,2183212.0,2229761.0,2276780.0,2318930.0,2151318.0,2372335.0,2049018.0,2156434.0,1871530.0,1768310.0,1800260.0,1929834.0,1805551.0,1933926.0,1876340.0,2009375.0,1997909.0,2003378.0,303399.0,294105.0,291156.0
9.5,1139431.0,1115650.0,1031888.0,978021.0,993101.0,1030655.0,2232811.0,2242712.0,2332002.0,2265897.0,2196578.0,2354203.0,2399973.0,2570582.0,2315170.0,2081213.0,2077971.0,2211953.0,2324801.0,2323340.0,2359577.0,2401979.0,2204897.0,2402147.0,2159940.0,2269526.0,1920381.0,1796138.0,1850373.0,1994902.0,1879922.0,1971618.0,1943633.0,2044539.0,2026304.0,2055007.0,299789.0,294894.0,292246.0
10.0,1165558.0,1137570.0,1068912.0,1005727.0,1011018.0,1062939.0,2317829.0,2303888.0,2376585.0,2315909.0,2253971.0,2384741.0,2461159.0,2576263.0,2400860.0,2175204.0,2148078.0,2285780.0,2421590.0,2383008.0,2400912.0,2459711.0,2269725.0,2434946.0,2252748.0,2313886.0,2042744.0,1856695.0,1877573.0,2046901.0,1964778.0,2038817.0,1988018.0,2092156.0,2047312.0,2071341.0,297534.0,289838.0,290970.0
10.5,1201617.0,1160583.0,1091719.0,1045604.0,1025266.0,1082834.0,2418805.0,2411793.0,2468960.0,2384905.0,2339469.0,2442743.0,2532650.0,2578762.0,2462930.0,2312733.0,2281648.0,2361498.0,2519394.0,2443432.0,2453192.0,2487911.0,2348443.0,2518258.0,2305369.0,2348849.0,2131624.0,1993643.0,1961512.0,2128591.0,2069497.0,2142301.0,2053254.0,2149865.0,2102496.0,2109305.0,297651.0,290311.0,288120.0
11.0,1225748.0,1192556.0,1096921.0,1067713.0,1061096.0,1109525.0,2463977.0,2445028.0,2506737.0,2433770.0,2387222.0,2500590.0,2573483.0,2657535.0,2510033.0,2401070.0,2361582.0,2412956.0,2543545.0,2496815.0,2468017.0,2491346.0,2389806.0,2574530.0,2352324.0,2410559.0,2167931.0,2095091.0,2070098.0,2221096.0,2114994.0,2211311.0,2095919.0,2162050.0,2124131.0,2152771.0,295031.0,285083.0,289103.0
11.5,1260533.0,1219521.0,1130132.0,1094128.0,1093297.0,1149329.0,2531928.0,2522204.0,2566780.0,2499164.0,2442818.0,2580826.0,2651278.0,2696440.0,2554777.0,2471706.0,2437600.0,2465643.0,2615192.0,2544477.0,2532051.0,2544332.0,2436835.0,2647416.0,2434849.0,2525312.0,2262436.0,2168296.0,2192833.0,2339138.0,2193512.0,2284844.0,2146362.0,2196150.0,2160367.0,2198983.0,299226.0,289935.0,291224.0
12.0,1286288.0,1236672.0,1172565.0,1117157.0,1118433.0,1172277.0,2596960.0,2540336.0,2594702.0,2528969.0,2487247.0,2611843.0,2680583.0,2719497.0,2595929.0,2511623.0,2465891.0,2489012.0,2645211.0,2589562.0,2556727.0,2575261.0,2468868.0,2690888.0,2473292.0,2589975.0,2358595.0,2244359.0,2237545.0,2404174.0,2234504.0,2337390.0,2169348.0,2231352.0,2197434.0,2232761.0,297949.0,287122.0,290932.0
12.5,1332692.0,1283639.0,1210876.0,1175229.0,1154061.0,1201909.0,2694034.0,2646747.0,2672082.0,2620379.0,2591308.0,2723153.0,2787352.0,2801971.0,2677816.0,2596855.0,2551390.0,2561501.0,2727401.0,2668385.0,2639682.0,2670459.0,2554490.0,2784170.0,2568936.0,2692595.0,2462588.0,2407661.0,2344703.0,2515562.0,2298601.0,2419186.0,2256040.0,2310562.0,2282120.0,2330821.0,309408.0,294792.0,294338.0
13.0,1360193.0,1319179.0,1234649.0,1203414.0,1210550.0,1244553.0,2737943.0,2707336.0,2750804.0,2674348.0,2634946.0,2797776.0,2868060.0,2862960.0,2721010.0,2657604.0,2615072.0,2621656.0,2783957.0,2710446.0,2690135.0,2718403.0,2599634.0,2847471.0,2623884.0,2769639.0,2516808.0,2468989.0,2440527.0,2563972.0,2332919.0,2452614.0,2307049.0,2351035.0,2305441.0,2401689.0,307243.0,297561.0,299689.0
13.5,1398229.0,1356731.0,1273061.0,1236856.0,1235198.0,1284875.0,2821838.0,2776460.0,2821375.0,2764810.0,2710303.0,2863385.0,2933990.0,2918664.0,2784326.0,2717512.0,2672592.0,2694878.0,2850289.0,2782722.0,2755632.0,2792241.0,2668394.0,2915924.0,2700015.0,2873067.0,2589202.0,2540198.0,2512169.0,2651912.0,2397190.0,2514099.0,2355196.0,2407554.0,2377074.0,2459897.0,310418.0,296429.0,300728.0
14.0,1432275.0,1383311.0,1311775.0,1259242.0,1248336.0,1315868.0,2904466.0,2841763.0,2863772.0,2811850.0,2783083.0,2912850.0,2998257.0,2957293.0,2826646.0,2758518.0,2704404.0,2741423.0,2900852.0,2843538.0,2806297.0,2839657.0,2709981.0,2970326.0,2765208.0,2925123.0,2673945.0,2610475.0,2535451.0,2685788.0,2445048.0,2557685.0,2400034.0,2470210.0,2422401.0,2510540.0,303962.0,297540.0,298325.0
14.5,1463265.0,1394843.0,1339669.0,1302939.0,1282207.0,1328123.0,2966633.0,2911355.0,2933294.0,2900434.0,2837270.0,2995254.0,3083979.0,3031003.0,2904869.0,2832106.0,2769143.0,2787632.0,2972224.0,2895201.0,2854016.0,2902108.0,2778991.0,3058657.0,2824679.0,2994846.0,2742311.0,2712838.0,2592888.0,2747007.0,2521234.0,2632233.0,2467735.0,2519391.0,2479554.0,2571150.0,308358.0,295258.0,294064.0
15.0,1479577.0,1423376.0,1352744.0,1309682.0,1312196.0,1347102.0,2983796.0,2942092.0,2966962.0,2910532.0,2872848.0,3027700.0,3115168.0,3058887.0,2906980.0,2853778.0,2811720.0,2813244.0,2991516.0,2922460.0,2899111.0,2936863.0,2801801.0,3089271.0,2875563.0,3021859.0,2738268.0,2726090.0,2640898.0,2767812.0,2527603.0,2644662.0,2494191.0,2551618.0,2502866.0,2608926.0,303354.0,294113.0,292272.0
15.5,1514067.0,1453639.0,1367431.0,1315084.0,1328382.0,1365546.0,3026387.0,2974116.0,3017669.0,2975403.0,2899675.0,3071949.0,3178612.0,3115286.0,2960635.0,2885247.0,2848993.0,2850583.0,3026400.0,2972193.0,2935857.0,2947757.0,2838609.0,3120822.0,2914415.0,3070043.0,2789417.0,2760578.0,2686753.0,2828952.0,2575408.0,2667217.0,2513243.0,2570541.0,2540208.0,2627226.0,305161.0,291785.0,291031.0
16.0,1546036.0,1472274.0,1399720.0,1352293.0,1340717.0,1391743.0,3082644.0,3020717.0,3059453.0,3007297.0,2951992.0,3123504.0,3228906.0,3155667.0,3004631.0,2930439.0,2883073.0,2899454.0,3093098.0,2991905.0,2982396.0,3006761.0,2883923.0,3163554.0,2963213.0,3125512.0,2848954.0,2799687.0,2708408.0,2875251.0,2627289.0,2723944.0,2565114.0,2624790.0,2577853.0,2692965.0,299962.0,292606.0,292883.0
16.5,1575176.0,1501344.0,1426686.0,1392721.0,1380790.0,1418537.0,3153459.0,3102453.0,3119368.0,3048503.0,3016254.0,3203897.0,3298166.0,3236468.0,3096683.0,2979866.0,2942988.0,2954563.0,3137272.0,3076839.0,3029855.0,3057878.0,2956348.0,3250727.0,3029684.0,3190913.0,2900689.0,2904849.0,2781423.0,2938770.0,2678747.0,2790819.0,2636764.0,2679437.0,2636982.0,2739647.0,304192.0,290056.0,290110.0
17.0,1599619.0,1517981.0,1444619.0,1404569.0,1397189.0,1431992.0,3176326.0,3134583.0,3152447.0,3087660.0,3041337.0,3234086.0,3348262.0,3265127.0,3117469.0,3034524.0,2978811.0,2985743.0,3166277.0,3082336.0,3081475.0,3099738.0,2991079.0,3284276.0,3070124.0,3230439.0,2944353.0,2931030.0,2827851.0,2962980.0,2701438.0,2825949.0,2654741.0,2724501.0,2664230.0,2792963.0,303710.0,294805.0,293726.0
17.5,1658780.0,1583710.0,1497127.0,1449502.0,1445096.0,1498727.0,3292842.0,3225034.0,3251995.0,3203430.0,3155542.0,3347034.0,3439421.0,3378264.0,3227795.0,3125067.0,3080154.0,3091344.0,3275970.0,3214499.0,3177242.0,3212564.0,3090838.0,3385998.0,3163606.0,3355649.0,3056763.0,3011133.0,2927897.0,3085814.0,2798246.0,2921224.0,2746938.0,2819097.0,2762701.0,2881222.0,306447.0,295727.0,297299.0
18.0,1686623.0,1598814.0,1525631.0,1463979.0,1476483.0,1502654.0,3336756.0,3264977.0,3300544.0,3248062.0,3192415.0,3409019.0,3511890.0,3439044.0,3267736.0,3176606.0,3123032.0,3115987.0,3332557.0,3235266.0,3234566.0,3243676.0,3147397.0,3443380.0,3224463.0,3408753.0,3114589.0,3082553.0,2961660.0,3123649.0,2859435.0,2940399.0,2785356.0,2850976.0,2794998.0,2901916.0,311705.0,296887.0,300395.0
18.5,1717375.0,1629808.0,1545848.0,1510465.0,1508703.0,1542945.0,3417481.0,3352192.0,3374227.0,3315157.0,3258256.0,3472207.0,3564357.0,3474749.0,3318880.0,3240437.0,3195602.0,3197316.0,3385718.0,3329674.0,3303973.0,3309652.0,3208486.0,3506999.0,3296332.0,3448499.0,3181842.0,3167449.0,3017247.0,3179373.0,2922550.0,3010870.0,2839720.0,2908651.0,2867316.0,2968891.0,313439.0,301731.0,301979.0
19.0,1744344.0,1659436.0,1580569.0,1529869.0,1534105.0,1570394.0,3445082.0,3404267.0,3418837.0,3352439.0,3296326.0,3532258.0,3640668.0,3550850.0,3365064.0,3284466.0,3228684.0,3246349.0,3432341.0,3372472.0,3338479.0,3353823.0,3266326.0,3574215.0,3366527.0,3502916.0,3210281.0,3209673.0,3096949.0,3227092.0,2947253.0,3077568.0,2910433.0,2956005.0,2900941.0,3044951.0,312759.0,298612.0,301692.0
19.5,1786787.0,1695812.0,1610899.0,1554228.0,1554547.0,1596435.0,3517436.0,3455069.0,3463628.0,3393929.0,3348025.0,3590558.0,3691694.0,3593206.0,3409924.0,3334017.0,3295029.0,3293888.0,3494953.0,3429041.0,3410538.0,3412835.0,3313445.0,3597476.0,3409367.0,3563904.0,3266054.0,3228559.0,3125669.0,3289545.0,2993486.0,3097434.0,2955280.0,3018709.0,2941442.0,3073643.0,320522.0,306285.0,306075.0
20.0,1809964.0,1721151.0,1624155.0,1566712.0,1569237.0,1605951.0,3549506.0,3464931.0,3484375.0,3414781.0,3381547.0,3631134.0,3740402.0,3635338.0,3451630.0,3344825.0,3303482.0,3313133.0,3521902.0,3432902.0,3422994.0,3434440.0,3336113.0,3623995.0,3447184.0,3600274.0,3312299.0,3265806.0,3163650.0,3302352.0,3020766.0,3131814.0,2945304.0,3032144.0,2960407.0,3087807.0,320660.0,308102.0,301617.0
20.5,1836941.0,1735146.0,1646532.0,1599613.0,1587725.0,1619306.0,3584387.0,3536437.0,3535747.0,3458789.0,3424087.0,3686597.0,3776086.0,3669024.0,3483838.0,3396325.0,3348471.0,3352201.0,3544358.0,3494274.0,3457596.0,3474082.0,3380340.0,3680287.0,3499249.0,3614588.0,3359225.0,3328771.0,3181954.0,3329222.0,3071137.0,3186348.0,2990157.0,3063186.0,2999691.0,3135473.0,316930.0,299816.0,300927.0
21.0,1852043.0,1750848.0,1658424.0,1614261.0,1607328.0,1643519.0,3631328.0,3561824.0,3557620.0,3479835.0,3450452.0,3717649.0,3807016.0,3698873.0,3516988.0,3424635.0,3380239.0,3377495.0,3564828.0,3528081.0,3481327.0,3492157.0,3397175.0,3700542.0,3539359.0,3665656.0,3352508.0,3348275.0,3235545.0,3361132.0,3069425.0,3201379.0,3003896.0,3081598.0,3027720.0,3150117.0,318701.0,301832.0,298615.0
21.5,1908510.0,1788774.0,1690360.0,1649204.0,1650054.0,1682439.0,3700651.0,3623917.0,3635577.0,3560482.0,3522886.0,3814261.0,3885869.0,3770147.0,3598811.0,3487523.0,3451408.0,3450973.0,3644461.0,3572466.0,3548516.0,3548244.0,3480339.0,3767659.0,3622335.0,3747029.0,3429233.0,3401296.0,3299162.0,3456699.0,3139179.0,3254850.0,3092509.0,3125946.0,3088834.0,3232575.0,310037.0,298663.0,296929.0
22.0,1944080.0,1818399.0,1729831.0,1665782.0,1672574.0,1710795.0,3750726.0,3658619.0,3670797.0,3593533.0,3557972.0,3861928.0,3942677.0,3808345.0,3630622.0,3520411.0,3470736.0,3481288.0,3683385.0,3607874.0,3584276.0,3599077.0,3518400.0,3813816.0,3670863.0,3808821.0,3494325.0,3451172.0,3324171.0,3493713.0,3193285.0,3291977.0,3107137.0,3178133.0,3129558.0,3262235.0,309920.0,296152.0,298617.0
22.5,2015876.0,1875207.0,1788094.0,1730722.0,1719078.0,1752245.0,3878334.0,3792451.0,3781223.0,3712364.0,3679896.0,3989354.0,4053229.0,3940012.0,3740167.0,3638250.0,3584713.0,3567206.0,3792337.0,3723817.0,3674505.0,3682699.0,3621478.0,3929543.0,3789950.0,3906589.0,3622942.0,3571523.0,3424017.0,3586313.0,3285535.0,3395284.0,3177345.0,3250931.0,3198159.0,3356768.0,311763.0,293936.0,296510.0
