,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E11,E12
28.5,1940122.0,1539633.0,1513239.0,1506407.0,1465791.0,1532448.0,285339.0,279747.0,281290.0,282550.0,281189.0,286874.0,266790.0,257508.0,263243.0,259121.0,259968.0,263610.0,299715.0,312555.0
29.0,2135217.0,1583976.0,1562694.0,1536246.0,1496711.0,1560717.0,288559.0,280097.0,279057.0,279158.0,282047.0,292156.0,264467.0,258693.0,265171.0,259466.0,257893.0,263140.0,297105.0,312434.0
29.5,2320933.0,1620381.0,1588264.0,1569188.0,1541889.0,1603393.0,289502.0,281981.0,289511.0,284699.0,286452.0,293125.0,264947.0,258682.0,265852.0,258488.0,260550.0,261053.0,297895.0,311986.0
30.0,2434988.0,1703152.0,1634718.0,1607327.0,1578560.0,1640891.0,294163.0,285977.0,283088.0,284142.0,284489.0,289506.0,265618.0,261901.0,263630.0,257615.0,262579.0,261415.0,300128.0,317486.0
30.5,2523638.0,1800711.0,1691019.0,1657144.0,1645922.0,1716313.0,296369.0,287757.0,284064.0,285201.0,291386.0,296545.0,264408.0,258107.0,260815.0,266673.0,258963.0,259084.0,299896.0,316528.0
31.0,2585254.0,1930336.0,1776993.0,1734145.0,1743121.0,1813230.0,294020.0,288652.0,283444.0,290935.0,289851.0,295433.0,262841.0,258116.0,266057.0,269268.0,260604.0,261661.0,302917.0,315205.0
31.5,2648539.0,2066361.0,1900274.0,1858731.0,1877517.0,1942428.0,296487.0,287862.0,289482.0,288632.0,296152.0,297015.0,262987.0,259318.0,263164.0,271716.0,262435.0,258760.0,298255.0,317934.0
32.0,2718230.0,2177980.0,2032586.0,2002350.0,2007333.0,2064763.0,300534.0,293856.0,293631.0,287855.0,293057.0,297619.0,266077.0,259142.0,262524.0,270355.0,260818.0,262397.0,300072.0,315077.0
32.5,2754015.0,2256605.0,2150620.0,2113488.0,2125307.0,2172088.0,300294.0,294238.0,290566.0,290185.0,300853.0,297345.0,266865.0,256737.0,263372.0,265942.0,259914.0,258522.0,298290.0,313944.0
33.0,2819551.0,2312571.0,2246327.0,2218070.0,2222849.0,2251486.0,299436.0,298608.0,296424.0,296986.0,302456.0,296513.0,265050.0,257604.0,264566.0,268442.0,264422.0,262418.0,303807.0,315160.0
