,E6,E7,E8,E9,E10,E11,F3,F4,F5,F9,F10,F11,G3,G4,G5,G6,G7,G8
30.0,181299.0,166365.0,189439.0,4292074.0,4704935.0,5067727.0,4534272.0,4350886.0,3630338.0,229576.0,237629.0,310087.0,1008013.0,996574.0,960665.0,981452.0,981945.0,966802.0
30.5,184708.0,167841.0,186208.0,4506085.0,4839783.0,5138016.0,4609727.0,4433446.0,3873458.0,231068.0,235500.0,307976.0,1027381.0,1000975.0,961336.0,1001464.0,999245.0,988714.0
31.0,182895.0,168224.0,188855.0,4658492.0,4958723.0,5216401.0,4687085.0,4509991.0,4060994.0,233857.0,241489.0,311697.0,1048098.0,1012120.0,977568.0,1014147.0,1005340.0,994516.0
31.5,184004.0,168166.0,188287.0,4796707.0,5075105.0,5300409.0,4802675.0,4566600.0,4170025.0,239988.0,244609.0,312447.0,1061963.0,1008742.0,984986.0,1032107.0,1018584.0,1001616.0
32.0,183422.0,170845.0,188256.0,4910308.0,5163130.0,5387965.0,4887839.0,4644176.0,4271690.0,238476.0,255628.0,314681.0,1077349.0,1016780.0,997742.0,1035197.0,1026958.0,1023578.0
32.5,184388.0,170843.0,190374.0,5039348.0,5277857.0,5487218.0,4978437.0,4723213.0,4356898.0,243689.0,263571.0,314479.0,1087719.0,1016135.0,1004229.0,1053476.0,1034615.0,1033756.0
33.0,183209.0,168951.0,188442.0,5134509.0,5367715.0,5566090.0,5025548.0,4793932.0,4458621.0,249743.0,274035.0,316621.0,1102928.0,1024540.0,1012627.0,1066962.0,1044012.0,1046539.0
33.5,185216.0,170274.0,188311.0,5232047.0,5453371.0,5650567.0,5113645.0,4832260.0,4541515.0,256868.0,286840.0,318763.0,1118952.0,1038698.0,1024510.0,1083928.0,1052541.0,1056776.0
34.0,185881.0,172759.0,190090.0,5351844.0,5534140.0,5715195.0,5197384.0,4916042.0,4634163.0,264983.0,292762.0,321704.0,1119984.0,1039495.0,1036400.0,1094090.0,1059090.0,1072793.0
34.5,185603.0,171997.0,187197.0,5458539.0,5625492.0,5782586.0,5289443.0,4958080.0,4732297.0,274934.0,298357.0,325710.0,1135047.0,1045880.0,1042545.0,1106765.0,1079767.0,1075297.0
35.0,186521.0,167672.0,188774.0,5548259.0,5739618.0,5874205.0,5361987.0,5022003.0,4822499.0,281476.0,303988.0,325770.0,1150880.0,1055820.0,1054651.0,1117707.0,1083976.0,1095731.0
35.5,187148.0,168374.0,188143.0,5650144.0,5805300.0,5950838.0,5443774.0,5056207.0,4913010.0,285931.0,310787.0,325978.0,1163658.0,1049291.0,1060597.0,1129279.0,1090186.0,1103104.0
36.0,186521.0,167891.0,189370.0,5758313.0,5898351.0,6022177.0,5563977.0,5089515.0,4983584.0,286657.0,312408.0,331916.0,1176173.0,1068180.0,1074207.0,1146806.0,1099277.0,1108903.0
36.5,189511.0,167989.0,189408.0,5847830.0,5973639.0,6097899.0,5656200.0,5162884.0,5074091.0,289921.0,312995.0,329011.0,1186995.0,1072028.0,1074566.0,1156237.0,1109716.0,1124254.0
37.0,185667.0,168029.0,190065.0,5920594.0,6064502.0,6170850.0,5792870.0,5207581.0,5156215.0,290198.0,314961.0,330575.0,1193715.0,1081069.0,1080492.0,1163302.0,1113723.0,1129376.0
37.5,189807.0,170827.0,189293.0,6022928.0,6137417.0,6254497.0,5917287.0,5276451.0,5212037.0,291763.0,318794.0,331643.0,1210239.0,1085996.0,1088819.0,1180602.0,1120676.0,1139562.0
