,E9,E10,E11,F3,F4,F5,G3,G4,G5,G6,G7,G8,H1
27.5,2760122.0,3347669.0,4626722.0,4268483.0,3364619.0,2483881.0,954412.0,964305.0,809369.0,742311.0,741137.0,732980.0,209079.0
28.0,2937607.0,3772528.0,4738886.0,4319091.0,3729828.0,2583024.0,963108.0,973438.0,869524.0,821844.0,809869.0,804794.0,215496.0
28.5,3244348.0,4126546.0,4812691.0,4371523.0,3983084.0,2725398.0,973047.0,986025.0,904987.0,889194.0,876388.0,872721.0,211019.0
29.0,3633934.0,4386815.0,4887072.0,4426575.0,4147476.0,2956724.0,981819.0,985986.0,932219.0,923972.0,930391.0,920183.0,214011.0
29.5,3996377.0,4579678.0,4973070.0,4469185.0,4261578.0,3294481.0,998624.0,993754.0,947236.0,955610.0,959371.0,946470.0,209962.0
30.0,4292074.0,4704935.0,5067727.0,4534272.0,4350886.0,3630338.0,1008013.0,996574.0,960665.0,981452.0,981945.0,966802.0,213576.0
30.5,4506085.0,4839783.0,5138016.0,4609727.0,4433446.0,3873458.0,1027381.0,1000975.0,961336.0,1001464.0,999245.0,988714.0,215251.0
31.0,4658492.0,4958723.0,5216401.0,4687085.0,4509991.0,4060994.0,1048098.0,1012120.0,977568.0,1014147.0,1005340.0,994516.0,209868.0
31.5,4796707.0,5075105.0,5300409.0,4802675.0,4566600.0,4170025.0,1061963.0,1008742.0,984986.0,1032107.0,1018584.0,1001616.0,212216.0
32.0,4910308.0,5163130.0,5387965.0,4887839.0,4644176.0,4271690.0,1077349.0,1016780.0,997742.0,1035197.0,1026958.0,1023578.0,212955.0
32.5,5039348.0,5277857.0,5487218.0,4978437.0,4723213.0,4356898.0,1087719.0,1016135.0,1004229.0,1053476.0,1034615.0,1033756.0,212196.0
33.0,5134509.0,5367715.0,5566090.0,5025548.0,4793932.0,4458621.0,1102928.0,1024540.0,1012627.0,1066962.0,1044012.0,1046539.0,211017.0
33.5,5232047.0,5453371.0,5650567.0,5113645.0,4832260.0,4541515.0,1118952.0,1038698.0,1024510.0,1083928.0,1052541.0,1056776.0,207904.0
34.0,5351844.0,5534140.0,5715195.0,5197384.0,4916042.0,4634163.0,1119984.0,1039495.0,1036400.0,1094090.0,1059090.0,1072793.0,211098.0
34.5,5458539.0,5625492.0,5782586.0,5289443.0,4958080.0,4732297.0,1135047.0,1045880.0,1042545.0,1106765.0,1079767.0,1075297.0,212665.0
35.0,5548259.0,5739618.0,5874205.0,5361987.0,5022003.0,4822499.0,1150880.0,1055820.0,1054651.0,1117707.0,1083976.0,1095731.0,211245.0
35.5,5650144.0,5805300.0,5950838.0,5443774.0,5056207.0,4913010.0,1163658.0,1049291.0,1060597.0,1129279.0,1090186.0,1103104.0,208089.0
36.0,5758313.0,5898351.0,6022177.0,5563977.0,5089515.0,4983584.0,1176173.0,1068180.0,1074207.0,1146806.0,1099277.0,1108903.0,210760.0
36.5,5847830.0,5973639.0,6097899.0,5656200.0,5162884.0,5074091.0,1186995.0,1072028.0,1074566.0,1156237.0,1109716.0,1124254.0,210398.0
37.0,5920594.0,6064502.0,6170850.0,5792870.0,5207581.0,5156215.0,1193715.0,1081069.0,1080492.0,1163302.0,1113723.0,1129376.0,207234.0
37.5,6022928.0,6137417.0,6254497.0,5917287.0,5276451.0,5212037.0,1210239.0,1085996.0,1088819.0,1180602.0,1120676.0,1139562.0,208679.0
38.0,6094278.0,6200067.0,6356898.0,6009880.0,5317875.0,5315974.0,1199851.0,1089847.0,1096131.0,1190749.0,1131058.0,1147833.0,210510.0
38.5,6195551.0,6260646.0,6430500.0,6103091.0,5379821.0,5372178.0,1206278.0,1095115.0,1108497.0,1194570.0,1137424.0,1160082.0,207387.0
39.0,6272406.0,6347283.0,6500506.0,6178938.0,5435214.0,5462330.0,1215815.0,1118639.0,1107927.0,1207997.0,1147305.0,1166488.0,212150.0
39.5,6370254.0,6399854.0,6561783.0,6278301.0,5493420.0,5531061.0,1202593.0,1122621.0,1123694.0,1214610.0,1151644.0,1173024.0,208588.0
40.0,6441341.0,6469319.0,6637956.0,6338969.0,5544625.0,5622335.0,1193330.0,1127208.0,1132876.0,1226237.0,1166873.0,1183705.0,210271.0
40.5,6527925.0,6540092.0,6724939.0,6412674.0,5583828.0,5696155.0,1187078.0,1147284.0,1136204.0,1226809.0,1168545.0,1193525.0,207577.0
41.0,6588732.0,6605842.0,6802797.0,6476761.0,5624484.0,5766993.0,1170784.0,1156744.0,1138820.0,1232190.0,1170911.0,1195431.0,210220.0
41.5,6641003.0,6689720.0,6888740.0,6576304.0,5663766.0,5799191.0,1162426.0,1156530.0,1150964.0,1251642.0,1185898.0,1207808.0,209696.0
42.0,6728719.0,6765414.0,6953233.0,6630231.0,5709118.0,5848019.0,1160469.0,1169636.0,1166308.0,1249018.0,1191389.0,1217531.0,207868.0
42.5,6794173.0,6808562.0,7081539.0,6736962.0,5747157.0,5922968.0,1154140.0,1178649.0,1159870.0,1262419.0,1196904.0,1221823.0,207348.0
43.0,6858140.0,6852232.0,7195137.0,6798074.0,5816122.0,5960194.0,1137803.0,1192463.0,1168594.0,1265013.0,1207628.0,1227330.0,211813.0
43.5,6945558.0,6902636.0,7261635.0,6804822.0,5870646.0,6030888.0,1125198.0,1195587.0,1190157.0,1280244.0,1207870.0,1234668.0,211637.0
44.0,6997473.0,6964002.0,7326541.0,6779033.0,5927594.0,6068089.0,1043374.0,1210495.0,1187501.0,1284895.0,1204241.0,1238201.0,210570.0
44.5,7056812.0,6985388.0,7401983.0,6742497.0,5971727.0,6120631.0,906000.0,1223955.0,1203708.0,1289290.0,1216701.0,1245544.0,206719.0
45.0,7089239.0,7027614.0,7492180.0,6723493.0,5996410.0,6180765.0,813024.0,1219232.0,1203181.0,1295761.0,1221005.0,1255817.0,210079.0
45.5,7157632.0,7081360.0,7576015.0,6687283.0,6027182.0,6209184.0,770076.0,1236610.0,1217986.0,1301077.0,1221508.0,1250086.0,208852.0
46.0,7225211.0,7134957.0,7643994.0,6641683.0,6076003.0,6262727.0,786906.0,1232008.0,1223172.0,1317390.0,1227356.0,1265583.0,209549.0
46.5,7257630.0,7197464.0,7730658.0,6602305.0,6107111.0,6291562.0,800362.0,1252008.0,1227887.0,1322748.0,1233403.0,1278247.0,209801.0
47.0,7298485.0,7255776.0,7844791.0,6567105.0,6166311.0,6308027.0,856279.0,1250066.0,1240918.0,1328774.0,1243899.0,1271087.0,207464.0
47.5,7367239.0,7279793.0,7934506.0,6549372.0,6190187.0,6349647.0,904554.0,1262176.0,1241539.0,1334722.0,1246004.0,1282278.0,209348.0
