,E7,E8,E11,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
5.0,289096.0,293969.0,298857.0,340110.0,323090.0,329376.0,317732.0,340398.0,338431.0,346258.0,344537.0,359018.0,352683.0,344877.0,336412.0,349970.0,276302.0,342412.0,339927.0,338355.0,348711.0,348875.0,351542.0,364880.0,355396.0,365423.0,349247.0,363662.0,349251.0,356756.0,354881.0,361169.0,357045.0,341332.0,336082.0,341066.0,338640.0,345645.0,345633.0
5.5,292716.0,293558.0,296126.0,344965.0,328037.0,331516.0,327505.0,338705.0,342013.0,350419.0,348630.0,359516.0,360502.0,349752.0,344614.0,352899.0,285444.0,347145.0,346715.0,342894.0,350991.0,349658.0,361216.0,366132.0,357856.0,374887.0,353882.0,369502.0,351352.0,359912.0,358219.0,368756.0,363322.0,343995.0,341316.0,345902.0,344823.0,348885.0,349581.0
6.0,286753.0,289268.0,298333.0,345604.0,327186.0,338225.0,326206.0,340292.0,346482.0,352612.0,352788.0,362300.0,359367.0,349229.0,348799.0,358045.0,285397.0,351665.0,349127.0,344928.0,349175.0,358641.0,359505.0,372059.0,364159.0,375832.0,360571.0,372043.0,361626.0,362123.0,366509.0,368702.0,364200.0,347215.0,344237.0,348573.0,350363.0,352304.0,356003.0
6.5,286821.0,291079.0,296573.0,349722.0,333477.0,340503.0,330500.0,343413.0,346980.0,354830.0,361587.0,363821.0,367314.0,356049.0,354031.0,361409.0,291358.0,352285.0,352255.0,350483.0,354431.0,365509.0,367336.0,380246.0,365815.0,378602.0,365759.0,372961.0,361649.0,366331.0,365501.0,373955.0,369917.0,353634.0,354319.0,353360.0,351810.0,357029.0,359812.0
7.0,289327.0,289458.0,293508.0,356938.0,331824.0,344867.0,332572.0,346142.0,350452.0,356825.0,356978.0,372425.0,367395.0,359250.0,360673.0,370170.0,297317.0,366484.0,360835.0,356418.0,363736.0,369078.0,373571.0,385349.0,374343.0,390186.0,374701.0,385865.0,373390.0,374991.0,375250.0,379983.0,377651.0,365907.0,359959.0,365889.0,364147.0,370341.0,366747.0
7.5,283749.0,286059.0,289434.0,354655.0,334422.0,345779.0,333583.0,340680.0,346114.0,358598.0,362058.0,368737.0,370398.0,358914.0,367447.0,371215.0,299945.0,361156.0,364599.0,362080.0,359782.0,374836.0,380226.0,386974.0,375952.0,389693.0,374462.0,390165.0,381316.0,377724.0,374467.0,393172.0,380492.0,369695.0,364702.0,370606.0,371780.0,374322.0,381624.0
8.0,281922.0,286156.0,293541.0,364385.0,345505.0,355182.0,339992.0,349934.0,354547.0,368565.0,369582.0,375312.0,378003.0,368961.0,373787.0,388239.0,301655.0,367911.0,367511.0,378425.0,375500.0,381362.0,385174.0,395583.0,388181.0,397500.0,385932.0,404010.0,393877.0,399530.0,393264.0,408399.0,397245.0,382766.0,382561.0,386676.0,389462.0,387199.0,398668.0
8.5,284715.0,287306.0,288680.0,375929.0,365512.0,362367.0,352468.0,360581.0,358865.0,375219.0,382670.0,380069.0,382844.0,377069.0,393681.0,390094.0,313683.0,373213.0,371432.0,379974.0,382523.0,398680.0,396786.0,402838.0,393643.0,404509.0,397546.0,422039.0,405487.0,404984.0,406661.0,418440.0,408451.0,393562.0,400920.0,400593.0,400546.0,400859.0,413495.0
9.0,285430.0,284661.0,294763.0,394261.0,375586.0,373353.0,370494.0,366946.0,374002.0,389612.0,391567.0,393044.0,392672.0,393916.0,408406.0,406017.0,317849.0,388729.0,388606.0,398297.0,399078.0,417788.0,411802.0,423527.0,416380.0,421458.0,413952.0,450707.0,431082.0,435437.0,431328.0,441022.0,430626.0,422841.0,419478.0,423563.0,427779.0,426453.0,438659.0
9.5,285672.0,289220.0,292297.0,406272.0,390959.0,385153.0,382514.0,373223.0,378236.0,404414.0,407171.0,408118.0,411776.0,410666.0,430334.0,429583.0,334522.0,409498.0,403318.0,416536.0,415483.0,432535.0,429563.0,441478.0,432151.0,434933.0,437265.0,470321.0,451054.0,451701.0,455125.0,461720.0,450567.0,435760.0,445388.0,448793.0,439433.0,442855.0,458206.0
