,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E11,E12
40.0,309546.0,304929.0,304130.0,305630.0,313870.0,303943.0,262698.0,259381.0,263230.0,268092.0,260241.0,258454.0,306874.0,313972.0
40.5,310518.0,304799.0,306870.0,307478.0,313214.0,304779.0,264871.0,261100.0,264882.0,267564.0,262925.0,259841.0,304541.0,317454.0
41.0,307219.0,302308.0,307876.0,309123.0,312299.0,305115.0,265628.0,260630.0,265878.0,264694.0,262290.0,256880.0,302833.0,316639.0
41.5,310958.0,306892.0,303728.0,308069.0,312950.0,309218.0,265650.0,258770.0,265316.0,264064.0,265000.0,259913.0,302462.0,320768.0
42.0,314371.0,303140.0,302740.0,309120.0,314118.0,309824.0,265494.0,260894.0,266274.0,263190.0,262074.0,262222.0,304636.0,321258.0
42.5,310859.0,306568.0,305982.0,305276.0,313149.0,310831.0,264824.0,257381.0,263397.0,261550.0,262741.0,259357.0,304927.0,317073.0
43.0,311599.0,307881.0,304509.0,308210.0,313858.0,314440.0,267772.0,264140.0,265513.0,263096.0,261174.0,262928.0,309130.0,323565.0
43.5,310884.0,308408.0,302815.0,308447.0,316177.0,306398.0,262960.0,259794.0,263592.0,263903.0,265588.0,262740.0,306887.0,324143.0
44.0,310498.0,307395.0,308486.0,310668.0,314020.0,308893.0,265919.0,259898.0,263730.0,262629.0,260785.0,264061.0,309932.0,321605.0
44.5,313296.0,307686.0,307708.0,305330.0,316405.0,311308.0,265966.0,260354.0,267990.0,259810.0,263810.0,262240.0,307781.0,323584.0
45.0,309808.0,309579.0,303810.0,305189.0,317187.0,310756.0,269543.0,259877.0,264398.0,262839.0,262159.0,262786.0,307864.0,318340.0
45.5,309219.0,310273.0,307421.0,311798.0,316316.0,312526.0,270109.0,266463.0,265152.0,262464.0,262682.0,260147.0,310907.0,321456.0
46.0,311152.0,307987.0,306037.0,304600.0,315123.0,312338.0,266706.0,262177.0,264909.0,262281.0,261579.0,259431.0,307595.0,321839.0
46.5,311571.0,307277.0,305356.0,307968.0,318967.0,312439.0,264654.0,263843.0,261585.0,262500.0,261934.0,259923.0,307080.0,325539.0
47.0,313475.0,309943.0,312549.0,310927.0,319769.0,307508.0,267245.0,261116.0,267490.0,264817.0,262542.0,260649.0,306011.0,326742.0
47.5,315646.0,308012.0,308610.0,305236.0,317504.0,309842.0,267904.0,262779.0,264978.0,264511.0,263987.0,260860.0,304815.0,318064.0
48.0,314227.0,309699.0,311632.0,311980.0,319193.0,309336.0,265869.0,263301.0,267263.0,258988.0,261696.0,261901.0,312176.0,322981.0
