,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,E1
12.0,545870.0,487106.0,481611.0,478536.0,494897.0,474351.0,582618.0,577595.0,581254.0,557306.0,553049.0,579691.0,591434.0,569094.0,543722.0,539679.0,534045.0,535645.0,585083.0,578767.0,580577.0,575504.0,583253.0,530277.0,632026.0,576651.0,570551.0,574085.0,570475.0,560237.0,520692.0,534395.0,525868.0,513361.0,536458.0,515320.0,293215.0,291258.0
12.5,585808.0,508240.0,511402.0,508869.0,529935.0,505400.0,634827.0,630541.0,628790.0,598628.0,597534.0,634275.0,646904.0,596944.0,583295.0,568177.0,567378.0,563434.0,603161.0,609962.0,614357.0,599109.0,613792.0,571303.0,691348.0,612071.0,605198.0,596165.0,597855.0,589622.0,547170.0,557009.0,548213.0,539366.0,564011.0,544256.0,297428.0,299446.0
13.0,618347.0,530301.0,525836.0,535311.0,550482.0,517846.0,674627.0,668288.0,673443.0,626512.0,636078.0,688029.0,694125.0,616870.0,600121.0,592366.0,589757.0,597116.0,638871.0,640444.0,635660.0,616834.0,636081.0,604542.0,744185.0,633901.0,627309.0,619388.0,608256.0,612595.0,570709.0,577492.0,560334.0,554295.0,584663.0,577769.0,298548.0,291961.0
13.5,659342.0,565997.0,552794.0,566198.0,585095.0,551726.0,731696.0,733905.0,725733.0,679581.0,689017.0,760141.0,759123.0,651196.0,632153.0,626008.0,621836.0,624357.0,661806.0,673701.0,661632.0,648269.0,668179.0,660186.0,810989.0,671400.0,659196.0,646471.0,643710.0,639320.0,596481.0,600341.0,593599.0,586356.0,613932.0,619912.0,302542.0,296688.0
14.0,689030.0,593819.0,580923.0,595219.0,614355.0,586601.0,788283.0,775613.0,770665.0,727470.0,736807.0,828063.0,802918.0,667138.0,659860.0,646827.0,649050.0,644632.0,680153.0,694667.0,682801.0,672982.0,692924.0,716450.0,862617.0,691137.0,686414.0,672138.0,664532.0,658480.0,606404.0,616318.0,610319.0,606774.0,621712.0,656974.0,304151.0,302169.0
14.5,717827.0,623595.0,609835.0,622385.0,650160.0,623140.0,844956.0,832947.0,827796.0,774913.0,796440.0,890151.0,869424.0,699849.0,676938.0,675111.0,676253.0,672677.0,705140.0,715462.0,708000.0,698154.0,721897.0,785306.0,924801.0,712289.0,711284.0,701549.0,692908.0,690620.0,637328.0,638042.0,632394.0,624306.0,644213.0,693927.0,302591.0,303967.0
15.0,726212.0,639068.0,643579.0,648137.0,668587.0,642080.0,884385.0,872610.0,864237.0,820804.0,847581.0,951370.0,915195.0,714574.0,702258.0,693574.0,698614.0,691281.0,708894.0,730302.0,724979.0,702494.0,745087.0,831640.0,966198.0,719124.0,734084.0,718777.0,707336.0,712886.0,657791.0,645910.0,634126.0,634168.0,651891.0,729929.0,300398.0,297767.0
15.5,755441.0,677811.0,665800.0,675309.0,696154.0,683156.0,942135.0,926251.0,914525.0,875852.0,905882.0,1016424.0,963187.0,745665.0,737341.0,725848.0,735892.0,729711.0,740700.0,757319.0,763608.0,736897.0,786451.0,903283.0,1012298.0,756801.0,760107.0,749975.0,741929.0,738402.0,688255.0,667129.0,650150.0,665725.0,681005.0,763669.0,304337.0,304939.0
16.0,768911.0,706865.0,693428.0,699795.0,718266.0,712932.0,984867.0,969480.0,948467.0,934101.0,957524.0,1074614.0,1003434.0,772842.0,766122.0,757162.0,764678.0,763772.0,771225.0,790490.0,789638.0,758204.0,831512.0,966820.0,1054183.0,784031.0,791571.0,793391.0,766389.0,776972.0,708745.0,685668.0,671375.0,685167.0,698371.0,805723.0,302835.0,299170.0
16.5,790897.0,745786.0,726353.0,721869.0,746772.0,749260.0,1030583.0,1017097.0,1000788.0,986901.0,1018606.0,1132402.0,1044471.0,816687.0,808683.0,804730.0,813395.0,809132.0,807220.0,837394.0,839612.0,798591.0,881329.0,1033666.0,1104257.0,819357.0,841822.0,833166.0,815440.0,828819.0,751844.0,717961.0,701188.0,721831.0,725955.0,851699.0,304139.0,301031.0
17.0,803159.0,770135.0,752690.0,754333.0,758772.0,772659.0,1066517.0,1055651.0,1032331.0,1036321.0,1064523.0,1177760.0,1086061.0,853381.0,856884.0,848689.0,867946.0,849135.0,850039.0,876163.0,880566.0,840219.0,946131.0,1091776.0,1133356.0,862916.0,890214.0,881957.0,858970.0,878890.0,789351.0,754987.0,729208.0,755455.0,751016.0,882083.0,303963.0,299847.0
17.5,837095.0,798870.0,784065.0,781567.0,794158.0,810296.0,1122023.0,1104865.0,1072650.0,1087512.0,1127704.0,1255308.0,1121147.0,917899.0,914368.0,909201.0,913166.0,903965.0,907293.0,938569.0,938063.0,888308.0,1023293.0,1162015.0,1177657.0,924318.0,943400.0,941043.0,916856.0,934431.0,840213.0,799948.0,772843.0,803544.0,785639.0,936249.0,308931.0,305507.0
18.0,841051.0,814561.0,788428.0,791631.0,794874.0,822978.0,1145067.0,1131030.0,1100286.0,1131637.0,1159803.0,1291695.0,1141964.0,972651.0,959825.0,943876.0,944826.0,938675.0,952407.0,993539.0,978616.0,938820.0,1068238.0,1204867.0,1187317.0,968906.0,1002668.0,983492.0,962634.0,965402.0,862211.0,839403.0,804217.0,832864.0,816558.0,955520.0,301697.0,298924.0
18.5,866443.0,846872.0,820842.0,819062.0,820275.0,851279.0,1190206.0,1179707.0,1139524.0,1172824.0,1203925.0,1358486.0,1178883.0,1036386.0,1016943.0,991578.0,994600.0,984944.0,1008805.0,1045911.0,1027061.0,1006323.0,1140992.0,1245749.0,1231963.0,1021899.0,1054579.0,1039204.0,1018149.0,1017731.0,913467.0,890936.0,856682.0,881690.0,878780.0,999478.0,305946.0,304343.0
19.0,886018.0,865274.0,835076.0,832453.0,832144.0,865145.0,1218953.0,1198433.0,1168009.0,1207392.0,1248470.0,1383987.0,1216207.0,1086072.0,1045462.0,1024202.0,1023086.0,1015307.0,1051517.0,1084292.0,1069687.0,1057331.0,1190581.0,1288662.0,1260988.0,1056255.0,1095703.0,1076000.0,1047856.0,1052221.0,930183.0,923377.0,883349.0,913227.0,928779.0,1021988.0,304871.0,304658.0
19.5,901734.0,887323.0,860981.0,855085.0,850457.0,894993.0,1258798.0,1245748.0,1211185.0,1238788.0,1291244.0,1448178.0,1250694.0,1131766.0,1101557.0,1061676.0,1060566.0,1051746.0,1100423.0,1138365.0,1111199.0,1119667.0,1251340.0,1341207.0,1292499.0,1113552.0,1142394.0,1118221.0,1096224.0,1080734.0,962063.0,958916.0,925508.0,949902.0,986933.0,1052270.0,305555.0,306815.0
20.0,910671.0,905307.0,865732.0,860887.0,862003.0,902854.0,1287574.0,1261394.0,1221185.0,1261603.0,1315986.0,1475268.0,1270559.0,1156775.0,1124218.0,1081343.0,1075717.0,1066404.0,1124591.0,1161715.0,1128914.0,1146573.0,1279619.0,1361475.0,1305876.0,1124570.0,1169078.0,1136946.0,1115417.0,1106265.0,968350.0,990229.0,955087.0,970293.0,1028335.0,1075065.0,304469.0,306380.0
20.5,919893.0,916430.0,880148.0,871192.0,873594.0,920154.0,1300370.0,1276606.0,1243013.0,1294851.0,1350383.0,1508844.0,1294423.0,1196757.0,1147350.0,1103894.0,1099067.0,1087013.0,1162545.0,1187882.0,1154282.0,1190725.0,1318531.0,1389804.0,1329595.0,1154110.0,1186620.0,1166310.0,1145455.0,1114391.0,985981.0,1012806.0,972970.0,985834.0,1064533.0,1102342.0,311233.0,307153.0
21.0,928391.0,914087.0,879013.0,872706.0,872901.0,915481.0,1312118.0,1294523.0,1250599.0,1303946.0,1363668.0,1529472.0,1295702.0,1206157.0,1162362.0,1111499.0,1106086.0,1103669.0,1169029.0,1199409.0,1158001.0,1204382.0,1345021.0,1401112.0,1334116.0,1167230.0,1196946.0,1180114.0,1147826.0,1131535.0,994346.0,1021956.0,981140.0,996004.0,1083066.0,1102904.0,299911.0,299304.0
21.5,939040.0,930673.0,898231.0,887882.0,895408.0,939356.0,1341636.0,1324323.0,1270326.0,1333533.0,1390558.0,1569525.0,1329142.0,1230218.0,1187644.0,1133282.0,1122908.0,1117391.0,1191220.0,1227820.0,1186048.0,1238839.0,1371429.0,1425268.0,1370041.0,1186387.0,1223491.0,1194091.0,1176751.0,1130095.0,1004019.0,1040204.0,1001397.0,1011066.0,1116578.0,1133439.0,306597.0,299161.0
22.0,950423.0,943546.0,903222.0,890147.0,899719.0,948175.0,1356682.0,1341164.0,1295118.0,1359769.0,1403584.0,1604523.0,1354376.0,1251217.0,1197071.0,1140515.0,1139427.0,1136884.0,1217326.0,1250554.0,1203283.0,1267181.0,1385543.0,1458266.0,1383772.0,1216171.0,1237287.0,1207982.0,1194256.0,1153090.0,1017936.0,1060134.0,1008286.0,1026779.0,1138708.0,1142530.0,298777.0,297556.0
22.5,979769.0,962985.0,925075.0,919807.0,920690.0,972189.0,1399139.0,1377454.0,1322467.0,1391672.0,1460802.0,1645668.0,1397189.0,1285688.0,1233882.0,1178943.0,1173245.0,1157717.0,1255693.0,1285622.0,1241039.0,1303004.0,1429083.0,1495273.0,1426825.0,1230657.0,1274408.0,1242018.0,1213674.0,1175078.0,1042461.0,1092458.0,1027341.0,1051593.0,1177936.0,1175140.0,302476.0,300575.0
