,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
18.0,61207790.0,58721908.0,54603276.0,53697293.0,58645477.0,55511278.0,50110836.0,50317871.0,50304896.0,50999086.0,51566425.0,58279824.0,22773944.0,21533799.0,20728650.0,20081666.0,21182895.0,20938189.0,265209.0,258996.0,260866.0,259659.0,249776.0,225460.0
18.5,62375339.0,59702844.0,55835251.0,54804203.0,60411431.0,57067099.0,51660352.0,52010091.0,51425075.0,51848029.0,52608238.0,59402305.0,23115629.0,22214611.0,21191520.0,20494649.0,21572884.0,21284715.0,264438.0,263798.0,266847.0,259751.0,254228.0,229392.0
19.0,63508255.0,60731293.0,56730987.0,55932161.0,61999899.0,58201190.0,53063569.0,53171064.0,52451330.0,52565458.0,53115407.0,61067139.0,23382606.0,22728187.0,21502902.0,20802754.0,21885580.0,21558045.0,263177.0,265646.0,265659.0,266107.0,246715.0,227877.0
19.5,64670364.0,61712922.0,57317513.0,57131177.0,63675431.0,59414923.0,54286828.0,54656315.0,53609497.0,53442507.0,53810442.0,62375744.0,23727333.0,23254253.0,21812598.0,21068878.0,22224608.0,21919570.0,262909.0,263371.0,264045.0,259596.0,251394.0,226188.0
20.0,65788298.0,62643562.0,57969250.0,58209155.0,64730249.0,60121586.0,55241167.0,55521729.0,54250003.0,53950741.0,54297528.0,63862253.0,23940242.0,23536634.0,22074638.0,21286642.0,22480705.0,22165629.0,265522.0,267946.0,262626.0,262956.0,253276.0,228362.0
20.5,66911834.0,63479914.0,58153200.0,58866701.0,65479819.0,60752752.0,55885902.0,56325852.0,54851210.0,54592265.0,54971913.0,64819404.0,24164487.0,23766965.0,22107260.0,21384041.0,22728395.0,22292578.0,263453.0,265167.0,266177.0,264001.0,252390.0,229405.0
21.0,68086034.0,64375316.0,58862116.0,59747093.0,66198771.0,61324807.0,56578225.0,56970326.0,55346572.0,55186836.0,55693493.0,66553837.0,24383155.0,23999316.0,22348638.0,21651807.0,22883263.0,22609367.0,266497.0,262731.0,267853.0,261735.0,251863.0,228603.0
21.5,69049426.0,65421891.0,60252960.0,60500473.0,66892012.0,61816543.0,57346145.0,57835154.0,55912527.0,55613199.0,56243478.0,67803508.0,24629223.0,24076402.0,22437158.0,21864813.0,23107145.0,22807024.0,266920.0,265080.0,267741.0,260608.0,254628.0,226690.0
22.0,70293887.0,66228625.0,60918257.0,61117270.0,67649875.0,62539851.0,58076120.0,58413751.0,56507918.0,56021824.0,56917855.0,69458772.0,24862770.0,24091541.0,22554199.0,22066364.0,23314825.0,23055023.0,268954.0,265390.0,265449.0,263622.0,257353.0,229097.0
22.5,71412893.0,66910677.0,61605922.0,61801652.0,68463100.0,62947655.0,58479357.0,58940603.0,56938415.0,56604964.0,57208147.0,70860792.0,25096048.0,24147647.0,22647070.0,22213336.0,23550981.0,23171372.0,266915.0,267552.0,266081.0,262730.0,255304.0,229257.0
23.0,72677302.0,67875723.0,62101825.0,62394973.0,68934912.0,63042346.0,58969432.0,59262070.0,57312066.0,57064204.0,57779668.0,71959651.0,25378095.0,24205313.0,22651075.0,22353036.0,23738163.0,23389206.0,268117.0,262199.0,265960.0,265074.0,253354.0,229379.0
23.5,73477589.0,68662094.0,62755198.0,62885517.0,69532632.0,63252370.0,59187797.0,59763169.0,57869208.0,57597953.0,58450977.0,73273594.0,25558430.0,24250193.0,22784603.0,22484155.0,23904405.0,23596573.0,266613.0,265366.0,269264.0,266123.0,253492.0,232601.0
24.0,74308226.0,69433829.0,63655830.0,63495851.0,69706919.0,63396025.0,59688075.0,60234515.0,58190870.0,57700355.0,58891985.0,74254948.0,25753188.0,24358471.0,22964391.0,22654424.0,24076642.0,23742780.0,268527.0,263950.0,263979.0,261734.0,255704.0,233733.0
24.5,75451901.0,70279089.0,64203253.0,64103605.0,70301086.0,63377655.0,60055474.0,60574750.0,58332093.0,58171737.0,59650732.0,75484751.0,26044969.0,24364680.0,23019836.0,22843057.0,24250235.0,23956621.0,268321.0,263605.0,269480.0,264760.0,255398.0,227938.0
25.0,76466320.0,70955247.0,64916174.0,64594867.0,70693799.0,63410228.0,60366669.0,60899206.0,58670494.0,58363669.0,59637969.0,76841193.0,26365996.0,24519459.0,23131875.0,22924862.0,24401547.0,24121583.0,273421.0,267259.0,264008.0,262942.0,255912.0,232007.0
25.5,77245787.0,71597899.0,65182991.0,65020681.0,71219650.0,63514411.0,60619639.0,61288794.0,59024058.0,58761061.0,60287232.0,77590373.0,26602277.0,24624549.0,23232692.0,23034623.0,24632513.0,24253272.0,263067.0,264675.0,268020.0,264007.0,255833.0,228803.0
26.0,78097346.0,72573744.0,65687653.0,65512279.0,71736660.0,63857413.0,60934108.0,61589242.0,59454063.0,59253806.0,60984493.0,78380582.0,26853669.0,24846716.0,23388234.0,23246649.0,24764621.0,24466931.0,268767.0,266789.0,265205.0,264435.0,255316.0,231251.0
26.5,78618285.0,73337728.0,66374357.0,65837778.0,71879454.0,64015772.0,61002896.0,62000638.0,59569435.0,59306771.0,61733359.0,79516612.0,27009109.0,24924864.0,23497735.0,23380604.0,24870965.0,24712455.0,270984.0,264383.0,265453.0,265811.0,257513.0,228164.0
27.0,79476352.0,74053326.0,66769157.0,66253499.0,72348458.0,64087259.0,61475667.0,61920895.0,59783644.0,59537834.0,62008425.0,80586460.0,27286619.0,25087700.0,23634063.0,23540716.0,25060491.0,24831572.0,270713.0,265513.0,262809.0,266202.0,255620.0,230409.0
27.5,79976960.0,74523339.0,66919779.0,66693138.0,72892566.0,64324398.0,61450078.0,62279103.0,59883996.0,59755344.0,62816339.0,81602047.0,27536402.0,25203552.0,23749529.0,23667716.0,25310318.0,25047645.0,267290.0,263942.0,266702.0,265721.0,255966.0,229007.0
28.0,80846157.0,75510416.0,67505122.0,67136355.0,73264887.0,64427107.0,61863325.0,62475850.0,60195580.0,60294062.0,63250741.0,82265616.0,27829570.0,25335304.0,23879959.0,23891948.0,25575514.0,25245883.0,270056.0,266220.0,267495.0,269261.0,256923.0,230894.0
28.5,81710608.0,76293691.0,68062806.0,67690568.0,73861984.0,64782174.0,62063252.0,62909450.0,60715373.0,60564150.0,64048222.0,83568560.0,28189078.0,25568123.0,24068324.0,24021072.0,25778603.0,25462895.0,270885.0,265656.0,270200.0,264442.0,253227.0,235292.0
29.0,82106230.0,76858577.0,68393771.0,67712993.0,74072142.0,64946561.0,62356314.0,63149596.0,60771707.0,60935271.0,64519167.0,84079789.0,28352471.0,25805268.0,24177510.0,24238148.0,25885461.0,25656060.0,266514.0,266822.0,264255.0,265771.0,260929.0,231284.0
29.5,82783832.0,77447809.0,69046730.0,68314678.0,74799100.0,65052800.0,62479749.0,63316895.0,60948339.0,61116647.0,65396999.0,84825836.0,28615251.0,25931458.0,24424436.0,24380194.0,26067694.0,25814434.0,270128.0,263039.0,269217.0,266107.0,257517.0,229856.0
30.0,83587608.0,77873500.0,69242948.0,68699849.0,75318840.0,65319953.0,62584498.0,63617282.0,61168106.0,61381870.0,65736535.0,85585079.0,28869156.0,26011083.0,24465617.0,24539213.0,26226069.0,26015442.0,265819.0,262603.0,266136.0,266061.0,258860.0,230669.0
30.5,84329082.0,78438499.0,69623598.0,68923830.0,75923154.0,65599564.0,62812448.0,63895373.0,61270606.0,61596916.0,66118613.0,86514332.0,29142514.0,26271861.0,24565130.0,24723825.0,26503922.0,26198154.0,270999.0,265944.0,268760.0,266464.0,260208.0,228925.0
