,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4
30.0,22990840.0,19494864.0,17415267.0,17971518.0,17451962.0,18248085.0,14577671.0,14333747.0,14390369.0,14217086.0,15665776.0,18475463.0,31138768.0,26640653.0,25948531.0,26081115.0,27602036.0,27318047.0,292822.0,295590.0,299049.0,296292.0,296542.0,314297.0,254060.0,244201.0,244798.0,247966.0
30.5,23394546.0,19745027.0,17674815.0,18250195.0,17793666.0,18488775.0,14742360.0,14451065.0,14489037.0,14330546.0,15817725.0,18748459.0,31625085.0,26877800.0,26310606.0,26300187.0,27996720.0,27769395.0,292229.0,299104.0,295716.0,296917.0,296246.0,313667.0,254633.0,243174.0,246397.0,251580.0
31.0,23722140.0,20006520.0,17892293.0,18533170.0,17981710.0,18711314.0,14891486.0,14597470.0,14654851.0,14472994.0,15991593.0,18908271.0,32027529.0,27202918.0,26543979.0,26616135.0,28230688.0,28080911.0,293187.0,297078.0,297209.0,299212.0,298689.0,314663.0,252665.0,245924.0,245726.0,252718.0
31.5,24040390.0,20194018.0,18074676.0,18739151.0,18140264.0,18944314.0,14993959.0,14756262.0,14724566.0,14647053.0,16126836.0,19126817.0,32423931.0,27513347.0,26833743.0,26823461.0,28603751.0,28292946.0,295768.0,297433.0,299419.0,296290.0,298893.0,311163.0,251227.0,244278.0,246804.0,250504.0
32.0,24407338.0,20406003.0,18300965.0,18934188.0,18429123.0,19177341.0,15093617.0,14816370.0,14844742.0,14737095.0,16269288.0,19316622.0,32846918.0,27817837.0,27144771.0,27143268.0,28787103.0,28587345.0,296176.0,295994.0,298325.0,298482.0,300789.0,312584.0,259475.0,243942.0,242150.0,247097.0
32.5,24749284.0,20747266.0,18483130.0,19206360.0,18624132.0,19395940.0,15254502.0,14959705.0,14976542.0,14851052.0,16398281.0,19628643.0,33143559.0,28115271.0,27436623.0,27499085.0,29206888.0,28797983.0,294046.0,297557.0,295826.0,297086.0,300954.0,314019.0,257498.0,244633.0,245359.0,248715.0
33.0,25010496.0,20979426.0,18779046.0,19360872.0,18809776.0,19588646.0,15370697.0,15044322.0,15130552.0,14953923.0,16537215.0,19828812.0,33474816.0,28392739.0,27720643.0,27684906.0,29496270.0,29104029.0,297365.0,296827.0,296214.0,298793.0,300614.0,315050.0,261088.0,247117.0,241381.0,246488.0
33.5,25369731.0,21152372.0,18933296.0,19582820.0,18989239.0,19845176.0,15463421.0,15207278.0,15213951.0,15081494.0,16657323.0,19960481.0,33879090.0,28679400.0,27922309.0,27952243.0,29710118.0,29499355.0,296894.0,296340.0,300123.0,296418.0,303811.0,311039.0,259163.0,248705.0,244286.0,248323.0
34.0,25674076.0,21439041.0,19192547.0,19829108.0,19213841.0,20022884.0,15576116.0,15349942.0,15299650.0,15130115.0,16791575.0,20212006.0,34342739.0,28965502.0,28165602.0,28247081.0,30040412.0,29777095.0,299098.0,297359.0,300061.0,296389.0,301969.0,314935.0,261881.0,250799.0,244891.0,251148.0
34.5,25992506.0,21699800.0,19305233.0,20040160.0,19448191.0,20227457.0,15727927.0,15389898.0,15435676.0,15210525.0,16934534.0,20343503.0,34589330.0,29258628.0,28444865.0,28402232.0,30278261.0,30019940.0,297554.0,297859.0,297416.0,299154.0,304784.0,316548.0,257823.0,247747.0,243705.0,254041.0
35.0,26218470.0,21826712.0,19563983.0,20294403.0,19616685.0,20492652.0,15812895.0,15558705.0,15533330.0,15342925.0,17039271.0,20528923.0,34802389.0,29437318.0,28734195.0,28647860.0,30536459.0,30290496.0,297894.0,299319.0,303140.0,296942.0,301525.0,318009.0,257291.0,246409.0,248323.0,248274.0
35.5,26480108.0,22065745.0,19737993.0,20437408.0,19734345.0,20585336.0,15916541.0,15583237.0,15635222.0,15424913.0,17153746.0,20820156.0,35155185.0,29612274.0,28804196.0,28841802.0,30800100.0,30403721.0,297810.0,300420.0,300046.0,297351.0,300766.0,317607.0,256508.0,243879.0,246218.0,250118.0
36.0,26839292.0,22366677.0,19872832.0,20636677.0,19960868.0,20829497.0,16045953.0,15725500.0,15721974.0,15541568.0,17350460.0,21021896.0,35514698.0,29763033.0,29263385.0,29152546.0,31010397.0,30696072.0,297324.0,296394.0,295460.0,301266.0,305735.0,314474.0,259554.0,246109.0,248635.0,249146.0
36.5,27089795.0,22468282.0,20106973.0,20854386.0,20166761.0,21036542.0,16081679.0,15824247.0,15848803.0,15625603.0,17428166.0,21126972.0,35921504.0,30188593.0,29379681.0,29339256.0,31208434.0,31052430.0,300255.0,301312.0,303301.0,303606.0,300806.0,321546.0,258722.0,250040.0,245818.0,253145.0
