,B8,B9,B10,C2,C3,C4,C5,C6,C7,D2,D3,D4,D5,D6,D7
25.0,1606630.0,1863596.0,2107428.0,3718635.0,2944607.0,1832963.0,13618624.0,13714968.0,13669647.0,16021003.0,11068960.0,10653580.0,212703.0,226845.0,236244.0
25.5,1732306.0,1931139.0,2127115.0,3766487.0,3092845.0,1892314.0,13861593.0,13955884.0,13991195.0,16254743.0,12100460.0,10926914.0,215853.0,231160.0,236506.0
26.0,1817727.0,1978859.0,2167385.0,3806988.0,3197179.0,1964267.0,14178611.0,14245456.0,14186450.0,16555266.0,13328641.0,11482706.0,214173.0,231701.0,238437.0
26.5,1860611.0,1993800.0,2210182.0,3852954.0,3253085.0,2049442.0,14398078.0,14527406.0,14448726.0,16786985.0,14248654.0,12387468.0,214509.0,230708.0,235852.0
27.0,1904429.0,2013900.0,2264052.0,3900880.0,3320739.0,2143343.0,14655887.0,14713510.0,14826450.0,17153419.0,14819852.0,13587384.0,211545.0,229294.0,233386.0
27.5,1933108.0,2027721.0,2277717.0,3931048.0,3376571.0,2301390.0,15026793.0,15019320.0,15205526.0,17296518.0,15224142.0,14517062.0,212280.0,230948.0,238788.0
28.0,1964139.0,2031564.0,2319576.0,3950291.0,3424618.0,2493948.0,15399357.0,15384816.0,15805705.0,17446141.0,15538975.0,15178473.0,211021.0,233038.0,238646.0
28.5,1987962.0,2056401.0,2332666.0,4015257.0,3470955.0,2691254.0,15684147.0,15831206.0,16761104.0,17621561.0,15705980.0,15583648.0,213145.0,232543.0,237938.0
29.0,2020797.0,2076570.0,2378065.0,4042094.0,3517392.0,2843827.0,15993158.0,16280736.0,17895283.0,17885698.0,15889958.0,15884401.0,215092.0,233842.0,236605.0
29.5,2040284.0,2093058.0,2403179.0,4087631.0,3565301.0,2985500.0,16609100.0,17048881.0,19050827.0,18058685.0,16044164.0,16104634.0,211648.0,233926.0,238902.0
30.0,2069021.0,2105536.0,2447118.0,4132452.0,3619258.0,3080717.0,17443832.0,18038557.0,19947893.0,18273821.0,16229995.0,16338039.0,215646.0,233805.0,241391.0
30.5,2071636.0,2124383.0,2497111.0,4151318.0,3642907.0,3152817.0,18348563.0,19057675.0,20601890.0,18441930.0,16347314.0,16440674.0,213871.0,233113.0,235688.0
31.0,2100741.0,2125036.0,2543169.0,4193625.0,3700783.0,3203532.0,19268235.0,20007545.0,21071617.0,18710926.0,16595742.0,16606068.0,215368.0,239425.0,238433.0
31.5,2129761.0,2133661.0,2595935.0,4228842.0,3749791.0,3260211.0,19971039.0,20783195.0,21391448.0,18863313.0,16736406.0,16785026.0,214864.0,234508.0,241241.0
32.0,2158434.0,2148053.0,2626091.0,4257585.0,3778310.0,3310215.0,20584238.0,21504404.0,21759101.0,18996426.0,16973351.0,16963907.0,214613.0,234939.0,242316.0
32.5,2179814.0,2166614.0,2672832.0,4294591.0,3819734.0,3358941.0,20943380.0,21922873.0,22074742.0,19257903.0,17036294.0,17100297.0,213513.0,233854.0,243672.0
33.0,2199770.0,2192723.0,2701466.0,4324513.0,3857306.0,3414295.0,21285601.0,22301897.0,22400221.0,19460611.0,17136041.0,17216869.0,216574.0,234268.0,241175.0
33.5,2217240.0,2222373.0,2745678.0,4360469.0,3896344.0,3466198.0,21606250.0,22555410.0,22632321.0,19724316.0,17253797.0,17375200.0,216033.0,236215.0,240604.0
34.0,2228162.0,2245547.0,2804783.0,4394629.0,3922429.0,3497972.0,21881106.0,22797056.0,22946752.0,19984039.0,17381484.0,17491948.0,214534.0,232532.0,240351.0
34.5,2236935.0,2261362.0,2860775.0,4430832.0,3977476.0,3548156.0,22230562.0,23138898.0,23204905.0,20192867.0,17542564.0,17571979.0,215042.0,235924.0,243656.0
35.0,2250249.0,2278831.0,2901623.0,4468988.0,3988163.0,3592544.0,22462488.0,23329118.0,23478119.0,20399889.0,17698750.0,17651980.0,216457.0,235393.0,240619.0
35.5,2265655.0,2288607.0,2945740.0,4501333.0,4049203.0,3633993.0,22783795.0,23543837.0,23758577.0,20577552.0,17912096.0,17807277.0,214437.0,235991.0,245904.0
36.0,2286808.0,2305872.0,2962989.0,4516135.0,4071098.0,3680285.0,23054634.0,23818424.0,24015562.0,20743586.0,17986243.0,17969664.0,215464.0,237630.0,243272.0
36.5,2300751.0,2327379.0,2993637.0,4556039.0,4105960.0,3708971.0,23356369.0,24090978.0,24314510.0,21059038.0,18093019.0,18087337.0,213837.0,237248.0,246107.0
37.0,2325632.0,2346279.0,2999975.0,4594661.0,4144605.0,3728600.0,23597792.0,24324230.0,24454428.0,21255413.0,18186867.0,18124542.0,215439.0,238025.0,246246.0
37.5,2335936.0,2387552.0,3026496.0,4627915.0,4156165.0,3771250.0,23794969.0,24546645.0,24700140.0,21485064.0,18241759.0,18303314.0,216464.0,240615.0,246179.0
38.0,2368760.0,2415259.0,3049057.0,4675438.0,4199245.0,3820023.0,24162592.0,24784131.0,24968135.0,21658118.0,18394332.0,18328254.0,217880.0,236364.0,244732.0
38.5,2371695.0,2442075.0,3060716.0,4734162.0,4239259.0,3846797.0,24355758.0,25072752.0,25223676.0,22048246.0,18514159.0,18358226.0,218176.0,239876.0,243497.0
39.0,2384977.0,2436729.0,3096684.0,4788206.0,4279786.0,3892835.0,24637882.0,25201483.0,25475973.0,22270476.0,18657575.0,18507903.0,214912.0,243268.0,246678.0
39.5,2389267.0,2463946.0,3090985.0,4797812.0,4287521.0,3910470.0,24957405.0,25438261.0,25748669.0,22368349.0,18760655.0,18551604.0,217092.0,240231.0,247306.0
40.0,2428577.0,2473098.0,3088769.0,4848718.0,4325814.0,3946177.0,25069748.0,25626044.0,25980340.0,22520099.0,18931152.0,18691879.0,216178.0,241700.0,245248.0
40.5,2457093.0,2501809.0,3073413.0,4906238.0,4358064.0,3987573.0,25369210.0,25816148.0,26215037.0,22670179.0,19056651.0,18798242.0,214977.0,241131.0,247488.0
41.0,2485502.0,2515512.0,3050807.0,4937145.0,4382715.0,4011489.0,25544133.0,26055975.0,26388344.0,22801725.0,19087164.0,18950789.0,215407.0,240741.0,243110.0
41.5,2500029.0,2554110.0,3054996.0,5000229.0,4414867.0,4056501.0,25720791.0,26266418.0,26594503.0,22944985.0,19225359.0,18966092.0,219530.0,242782.0,244602.0
42.0,2511951.0,2573269.0,3034306.0,5051682.0,4431981.0,4068172.0,25888742.0,26383721.0,26807055.0,23123209.0,19314408.0,19023434.0,217257.0,241091.0,249865.0
42.5,2525526.0,2599117.0,3000097.0,5097070.0,4463790.0,4115716.0,26063500.0,26658424.0,27046280.0,23359770.0,19496521.0,19125742.0,217150.0,244202.0,248045.0
43.0,2535726.0,2602707.0,2986080.0,5156253.0,4470183.0,4120564.0,26415667.0,26814832.0,27297214.0,23600338.0,19669790.0,19276747.0,220433.0,242661.0,246615.0
43.5,2558228.0,2622227.0,2949211.0,5191076.0,4525043.0,4146698.0,26420391.0,27005958.0,27418568.0,23608664.0,19833835.0,19340577.0,216902.0,241477.0,249055.0
44.0,2583994.0,2653551.0,2909218.0,5251530.0,4546828.0,4200352.0,26606621.0,27231163.0,27698829.0,23592951.0,20002349.0,19491529.0,216193.0,246852.0,249207.0
44.5,2591400.0,2646536.0,2859218.0,5305997.0,4573149.0,4221523.0,26778898.0,27356091.0,27854285.0,23542051.0,20140515.0,19614911.0,218378.0,240340.0,247223.0
45.0,2629518.0,2681783.0,2791172.0,5358075.0,4589235.0,4242444.0,26949777.0,27552937.0,28027641.0,23599729.0,20243126.0,19693089.0,219802.0,241399.0,249747.0
45.5,2648782.0,2704038.0,2714503.0,5404750.0,4615222.0,4294276.0,27113656.0,27767242.0,28211097.0,23632323.0,20312154.0,19795618.0,219131.0,245709.0,248805.0
46.0,2663013.0,2739792.0,2669762.0,5471799.0,4647588.0,4319165.0,27301135.0,27890007.0,28370145.0,23570285.0,20463235.0,19876646.0,219477.0,243807.0,246865.0
46.5,2659038.0,2752232.0,2628906.0,5532825.0,4669024.0,4338868.0,27401496.0,28079114.0,28581795.0,23430898.0,20566903.0,19898051.0,220365.0,245531.0,248212.0
47.0,2671634.0,2778110.0,2595395.0,5623701.0,4694833.0,4378486.0,27527951.0,28275328.0,28732216.0,23291039.0,20742487.0,19944579.0,218114.0,244601.0,250215.0
47.5,2691417.0,2782838.0,2459608.0,5669758.0,4728899.0,4391959.0,27601841.0,28372672.0,28949884.0,22952461.0,20933555.0,20094580.0,220640.0,245833.0,251142.0
48.0,2696539.0,2811731.0,2112673.0,5723584.0,4758381.0,4435800.0,27733521.0,28519545.0,29123731.0,22555883.0,21112327.0,20216315.0,221121.0,244951.0,250468.0
