,B8,B9,B10,C2,C3,C4,C5,C6,C7,D2,D3,D4,D5,D6,D7
41.5,0.828,0.835,1.045,0.935,0.844,0.778,0.825,0.85,0.862,0.943,0.816,0.825,0.088,0.089,0.088
42.0,0.83,0.839,1.047,0.94,0.846,0.779,0.826,0.853,0.863,0.95,0.818,0.827,0.089,0.09,0.088
42.5,0.83,0.838,1.039,0.945,0.845,0.779,0.827,0.853,0.863,0.952,0.818,0.824,0.089,0.089,0.088
43.0,0.831,0.843,1.032,0.95,0.845,0.78,0.829,0.852,0.863,0.957,0.818,0.822,0.087,0.089,0.087
43.5,0.832,0.845,1.027,0.956,0.846,0.781,0.83,0.855,0.866,0.96,0.82,0.825,0.089,0.088,0.088
44.0,0.832,0.847,1.017,0.958,0.847,0.781,0.831,0.856,0.866,0.96,0.82,0.824,0.089,0.089,0.087
44.5,0.834,0.853,1.006,0.967,0.847,0.784,0.834,0.857,0.868,0.965,0.823,0.823,0.089,0.09,0.088
45.0,0.834,0.855,0.992,0.972,0.847,0.785,0.832,0.858,0.868,0.964,0.822,0.822,0.088,0.089,0.087
45.5,0.835,0.857,0.984,0.98,0.847,0.785,0.834,0.859,0.869,0.966,0.825,0.823,0.089,0.089,0.087
46.0,0.836,0.862,0.97,0.988,0.848,0.787,0.837,0.861,0.87,0.964,0.828,0.822,0.088,0.089,0.088
46.5,0.837,0.866,0.958,0.996,0.847,0.788,0.836,0.862,0.873,0.962,0.83,0.823,0.089,0.089,0.086
47.0,0.839,0.87,0.954,1.003,0.847,0.789,0.838,0.863,0.871,0.956,0.832,0.823,0.089,0.089,0.086
47.5,0.839,0.873,0.924,1.01,0.848,0.789,0.839,0.864,0.872,0.952,0.835,0.822,0.089,0.089,0.087
48.0,0.84,0.877,0.822,1.017,0.849,0.792,0.838,0.866,0.873,0.942,0.837,0.823,0.088,0.089,0.087
