,D2,D3,D4,D5,D6,D7,D9,E2,E3,E4,E5,E6,E7,E8,F2,F3,F4,F5,F6,F7,F9,G2,G3,G4,G5,G6,G7,G8
19.0,13643591.0,12526011.0,11950924.0,12043599.0,12330348.0,12471825.0,298106.0,14170170.0,13755259.0,13780946.0,14004933.0,13786887.0,13044217.0,287936.0,21498843.0,17096634.0,16733715.0,16983374.0,17472600.0,17925679.0,297264.0,345030.0,341151.0,334715.0,341069.0,336715.0,333451.0,284784.0
19.5,14392873.0,13290114.0,12808938.0,12824178.0,12997453.0,13102137.0,304276.0,14681222.0,14343402.0,14288094.0,14511575.0,14223254.0,13456866.0,289663.0,22446440.0,18095565.0,17792042.0,18037636.0,18412800.0,18853645.0,302348.0,343712.0,348490.0,338035.0,342883.0,344005.0,335528.0,283934.0
20.0,14990692.0,13966941.0,13549122.0,13503292.0,13571657.0,13644890.0,305249.0,15029758.0,14882309.0,14719113.0,14917918.0,14638105.0,13793627.0,291925.0,23310194.0,19001290.0,18713989.0,18970252.0,19316198.0,19729700.0,299955.0,347006.0,344664.0,342244.0,342880.0,336833.0,340389.0,287323.0
20.5,15559402.0,14631345.0,14175328.0,14129340.0,14138831.0,14148286.0,309075.0,15376521.0,15202451.0,15076524.0,15282153.0,14942495.0,14123861.0,292259.0,24063532.0,19796731.0,19495906.0,19823049.0,20066703.0,20354036.0,303179.0,348562.0,345552.0,340935.0,347795.0,343872.0,341588.0,288472.0
21.0,15974184.0,15087306.0,14674322.0,14669803.0,14607035.0,14511920.0,303839.0,15664343.0,15528899.0,15358266.0,15572972.0,15230235.0,14294098.0,287826.0,24702883.0,20466666.0,20150371.0,20469491.0,20688047.0,20983154.0,299165.0,349277.0,339214.0,338299.0,345698.0,337349.0,338844.0,287212.0
21.5,16617712.0,15720199.0,15345230.0,15274311.0,15213216.0,15082988.0,309000.0,16086419.0,15912002.0,15765776.0,16019016.0,15615245.0,14654329.0,291652.0,25449542.0,21284939.0,20881646.0,21295060.0,21439980.0,21701228.0,302616.0,350604.0,351323.0,338888.0,347145.0,341150.0,344757.0,288075.0
22.0,17086148.0,16211530.0,15839748.0,15780645.0,15595789.0,15445322.0,304324.0,16261161.0,16086259.0,16059688.0,16313477.0,15829241.0,14877613.0,289971.0,25979576.0,21801423.0,21436718.0,21823791.0,21977764.0,22247626.0,296983.0,351846.0,343100.0,337595.0,346450.0,337172.0,338120.0,282358.0
22.5,17712521.0,16802386.0,16451170.0,16372861.0,16161444.0,15960695.0,307215.0,16677714.0,16402631.0,16435297.0,16681733.0,16158707.0,15156956.0,292946.0,26718190.0,22434439.0,22104329.0,22616155.0,22657471.0,22843240.0,301243.0,352822.0,351052.0,340328.0,346529.0,345075.0,336989.0,284030.0
23.0,18116636.0,17141290.0,16847493.0,16769508.0,16492007.0,16178278.0,302829.0,16841198.0,16449899.0,16650573.0,16886962.0,16333786.0,15302693.0,288593.0,27174433.0,22936308.0,22563043.0,22975971.0,23074159.0,23240245.0,298416.0,350968.0,343158.0,337142.0,339133.0,342429.0,334821.0,285622.0
23.5,18589322.0,17681275.0,17335991.0,17273230.0,16865181.0,16604426.0,307021.0,17108882.0,16632409.0,16950352.0,17164477.0,16579096.0,15493192.0,290222.0,27710160.0,23449967.0,23108008.0,23574673.0,23623206.0,23764037.0,302024.0,352650.0,348667.0,339406.0,344157.0,343477.0,336711.0,288262.0
24.0,19133695.0,18096207.0,17726919.0,17653505.0,17146904.0,16919783.0,303958.0,17411749.0,16769464.0,17184013.0,17424465.0,16794552.0,15649320.0,288754.0,28193147.0,23941133.0,23499235.0,24115041.0,24034799.0,24121099.0,295750.0,348753.0,347933.0,342092.0,345698.0,340451.0,334698.0,285753.0
24.5,19887808.0,18705905.0,18342575.0,18256381.0,17765457.0,17419707.0,305555.0,17861113.0,17078006.0,17583695.0,17808347.0,17120330.0,15996039.0,288900.0,28948100.0,24533020.0,24176444.0,24658833.0,24720936.0,24851339.0,301178.0,357451.0,348220.0,341411.0,346546.0,340985.0,340910.0,285065.0
