,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H3,H5,H7,H9,H11
8.5,4189590.0,4337474.0,4172399.0,4316184.0,4400067.0,3651769.0,3326553.0,3123759.0,3712378.0,4849920.0,4143789.0,2641287.0,3556825.0,4004579.0,4442136.0,4182164.0,4602534.0,4083901.0,3939734.0,3969483.0,3853941.0,4180294.0,4149743.0,4503507.0,6120837.0,6449724.0,6710044.0,7582204.0,6740075.0,5805067.0,9064254.0,9838198.0,10487840.0,8365767.0,8595184.0,9535508.0,279178.0,287243.0,279691.0,281878.0,276895.0,286202.0
9.0,4358424.0,4510801.0,4412797.0,4262294.0,4374082.0,3806067.0,3479942.0,3308790.0,3708090.0,4959382.0,4328871.0,2804276.0,3693260.0,4074974.0,4540274.0,4160466.0,4655525.0,4148743.0,3969053.0,4088699.0,3898928.0,4244714.0,4185136.0,4477987.0,6290813.0,6580975.0,6792697.0,7644048.0,6762125.0,5887483.0,9426525.0,10210623.0,10609957.0,8890363.0,8956643.0,10094455.0,285059.0,292884.0,280490.0,286463.0,277256.0,288500.0
9.5,4536495.0,4633646.0,4630395.0,4283513.0,4408470.0,3997010.0,3559626.0,3495576.0,3786373.0,5209322.0,4560488.0,3062510.0,3818782.0,4244104.0,4639242.0,4188259.0,4703795.0,4255523.0,4049671.0,4188974.0,3985621.0,4316515.0,4223852.0,4498265.0,6437455.0,6893512.0,6947723.0,7822344.0,6844948.0,5987720.0,9836725.0,10510538.0,11214765.0,9267050.0,9298935.0,10434174.0,281824.0,293750.0,281012.0,284445.0,276849.0,290031.0
10.0,4624057.0,4635707.0,4781291.0,4310791.0,4463632.0,4091567.0,3589824.0,3719883.0,3801754.0,5337693.0,4672519.0,3108111.0,3887396.0,4331579.0,4677288.0,4274871.0,4791090.0,4309840.0,4142413.0,4242560.0,4073846.0,4372812.0,4253331.0,4476226.0,6515311.0,7201285.0,7034860.0,7826697.0,6946576.0,6084422.0,9931952.0,10636229.0,11419507.0,9553705.0,9488072.0,10602148.0,287773.0,291520.0,283786.0,286401.0,280063.0,287162.0
10.5,4832026.0,4759395.0,4923157.0,4342184.0,4565659.0,4200032.0,3622274.0,3696850.0,3792009.0,5493082.0,4724714.0,3279209.0,4042053.0,4456225.0,4781526.0,4416443.0,5017399.0,4480466.0,4271086.0,4384131.0,4177479.0,4471260.0,4334296.0,4498786.0,6790554.0,7345498.0,7233992.0,8056580.0,7128124.0,6243663.0,10128778.0,10975531.0,11681892.0,9887737.0,9901359.0,10999157.0,288691.0,290705.0,289142.0,287006.0,280373.0,295249.0
11.0,4862897.0,4784653.0,5040932.0,4321244.0,4542667.0,4191546.0,3590269.0,3586052.0,3858538.0,5543269.0,4690364.0,3402047.0,4052369.0,4568370.0,4833570.0,4443094.0,5045248.0,4511052.0,4306063.0,4417455.0,4212103.0,4466960.0,4366965.0,4492528.0,6750312.0,7362650.0,7240394.0,8097852.0,7189319.0,6320336.0,10256845.0,11094164.0,11892422.0,10000967.0,9997568.0,11032713.0,286342.0,298258.0,283883.0,286433.0,279857.0,293616.0
11.5,5049094.0,4844451.0,5200563.0,4429451.0,4697949.0,4266281.0,3695054.0,3619156.0,4056053.0,5688358.0,4582849.0,3466374.0,4194019.0,4723260.0,4924598.0,4606578.0,5162549.0,4585414.0,4425164.0,4496189.0,4310014.0,4609534.0,4476315.0,4593992.0,6984332.0,7653282.0,7459123.0,8235218.0,7390006.0,6507177.0,10510317.0,11296086.0,12252137.0,10251512.0,10306520.0,11415062.0,288332.0,296846.0,286826.0,286322.0,284842.0,295012.0
12.0,5077504.0,5404451.0,5256877.0,4443808.0,4747574.0,4228532.0,3777156.0,3555168.0,4126360.0,5698396.0,4550482.0,3518852.0,4239607.0,4749959.0,4924009.0,4618550.0,5189325.0,4626804.0,4443159.0,4533707.0,4307176.0,4619936.0,4487852.0,4610422.0,7071800.0,7650143.0,7510336.0,8240303.0,7480470.0,6546174.0,10535925.0,11433775.0,12271437.0,10436816.0,10489437.0,11540117.0,290214.0,294297.0,283933.0,288040.0,283272.0,296488.0
12.5,5187791.0,5655129.0,5369280.0,4517986.0,4830910.0,4340499.0,3833943.0,3553963.0,4331160.0,5828151.0,4588368.0,3647336.0,4344937.0,4872891.0,5039173.0,4688498.0,5285676.0,4684462.0,4570679.0,4629705.0,4421162.0,4692965.0,4600132.0,4689890.0,7214008.0,7781894.0,7693234.0,8449806.0,7642811.0,6734917.0,10949473.0,11795019.0,12666577.0,10708926.0,10798074.0,11900427.0,288587.0,295610.0,285912.0,284434.0,280089.0,292818.0
13.0,5140294.0,5589027.0,5292767.0,4514427.0,4852737.0,4289279.0,3870509.0,3563897.0,4329293.0,5724199.0,4545345.0,3619858.0,4329915.0,4832854.0,4981411.0,4683450.0,5242869.0,4678545.0,4535439.0,4597160.0,4412077.0,4691641.0,4570932.0,4708008.0,7222473.0,7863388.0,7668773.0,8359310.0,7656072.0,6742298.0,10921223.0,11841632.0,12695072.0,10801030.0,10788305.0,11924723.0,284662.0,290968.0,282152.0,284730.0,281777.0,290212.0
