,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H3,H5,H7,H9,H11
37.5,4908683.0,3582890.0,3640161.0,3590475.0,3475852.0,3440107.0,7281054.0,8818886.0,7722786.0,8153513.0,7851546.0,8427469.0,9435501.0,7897114.0,7768370.0,7499004.0,7982289.0,7526132.0,8386061.0,8280881.0,8123605.0,8170899.0,8485135.0,9365462.0,9394611.0,9650781.0,9304939.0,8572833.0,8541177.0,8575031.0,7292871.0,7485267.0,7507160.0,7242186.0,7442097.0,7892324.0,293656.0,292112.0,284459.0,288351.0,296226.0,305005.0
38.0,4928492.0,3583108.0,3655130.0,3612624.0,3474984.0,3428526.0,7271583.0,8821347.0,7692845.0,8117648.0,7896865.0,8474684.0,9483977.0,7921743.0,7818901.0,7491939.0,7966905.0,7532643.0,8365378.0,8232313.0,8139491.0,8190834.0,8499064.0,9412275.0,9468208.0,9604191.0,9332960.0,8494659.0,8564530.0,8571596.0,7260683.0,7536657.0,7490327.0,7200213.0,7462826.0,8027831.0,298358.0,292146.0,288226.0,286351.0,290924.0,307142.0
38.5,4921315.0,3590123.0,3658410.0,3616170.0,3476892.0,3449312.0,7276642.0,8778760.0,7716863.0,8129898.0,7903967.0,8530393.0,9567530.0,7920537.0,7787225.0,7501524.0,7990643.0,7528274.0,8349412.0,8241866.0,8131787.0,8173007.0,8503853.0,9452890.0,9468285.0,9666367.0,9326253.0,8535957.0,8566275.0,8554240.0,7263245.0,7540517.0,7486864.0,7223741.0,7496696.0,7997452.0,296884.0,295100.0,286330.0,281442.0,290482.0,303889.0
39.0,4961564.0,3652315.0,3688797.0,3638565.0,3510085.0,3499622.0,7335122.0,8811675.0,7818054.0,8214619.0,7986023.0,8685899.0,9702491.0,7970287.0,7877525.0,7567105.0,8004810.0,7569211.0,8421264.0,8292169.0,8200749.0,8229590.0,8596832.0,9530108.0,9534876.0,9778316.0,9401333.0,8593857.0,8665117.0,8665043.0,7349603.0,7605676.0,7575718.0,7318475.0,7567897.0,8010479.0,297667.0,296276.0,284535.0,281603.0,290644.0,305514.0
39.5,5028682.0,3688812.0,3702569.0,3661075.0,3534024.0,3491746.0,7357550.0,8775541.0,7800605.0,8223805.0,7996311.0,8748796.0,9841505.0,8034773.0,7917836.0,7603655.0,8053747.0,7586255.0,8474454.0,8325068.0,8252379.0,8274419.0,8639453.0,9642591.0,9564207.0,9796017.0,9465159.0,8588182.0,8702088.0,8642667.0,7403240.0,7630652.0,7578496.0,7336308.0,7569757.0,8134574.0,295760.0,296017.0,287419.0,286570.0,293719.0,302253.0
40.0,5157667.0,3765903.0,3762267.0,3720659.0,3580124.0,3582867.0,7489338.0,8910582.0,7973137.0,8410403.0,8183113.0,9004722.0,10070960.0,8148741.0,8025906.0,7724293.0,8199845.0,7761955.0,8608999.0,8435289.0,8376256.0,8393479.0,8797909.0,9862150.0,9741458.0,9957728.0,9640372.0,8735200.0,8791642.0,8899255.0,7468141.0,7771500.0,7677125.0,7400339.0,7706387.0,8265563.0,308192.0,294873.0,291860.0,281852.0,294584.0,307230.0
40.5,5117241.0,3771525.0,3776369.0,3740036.0,3598432.0,3586990.0,7500852.0,8951130.0,7956477.0,8409223.0,8168401.0,9077476.0,10164446.0,8165089.0,8040051.0,7745442.0,8203683.0,7774937.0,8579325.0,8481812.0,8402561.0,8426493.0,8849302.0,9916696.0,9769708.0,10002335.0,9702302.0,8745999.0,8854308.0,8907112.0,7534369.0,7740151.0,7681512.0,7484521.0,7764868.0,8254756.0,303579.0,296112.0,292411.0,288871.0,293886.0,311608.0
41.0,5119065.0,3833199.0,3833365.0,3786956.0,3620570.0,3621215.0,7597009.0,8962014.0,8052588.0,8496206.0,8258772.0,9267912.0,10339494.0,8278901.0,8146065.0,7834353.0,8279692.0,7834733.0,8665343.0,8567963.0,8479573.0,8492949.0,8927828.0,10092500.0,9848558.0,10113923.0,9783825.0,8818280.0,8906901.0,9031802.0,7598229.0,7820166.0,7766545.0,7504525.0,7874114.0,8407030.0,302055.0,299584.0,294355.0,289067.0,297910.0,309438.0
41.5,5214856.0,3887037.0,3832738.0,3813476.0,3646415.0,3636279.0,7609489.0,9053115.0,8060235.0,8521247.0,8325689.0,9377183.0,10501352.0,8317968.0,8159535.0,7858674.0,8280825.0,7861893.0,8655482.0,8568053.0,8503564.0,8552621.0,8943742.0,10144923.0,9988569.0,10184252.0,9842009.0,8818744.0,8988938.0,9084230.0,7606329.0,7819832.0,7757082.0,7538290.0,7852436.0,8432740.0,304904.0,297506.0,292774.0,294835.0,296512.0,306007.0
42.0,5219154.0,3934944.0,3864512.0,3828338.0,3649914.0,3649645.0,7633546.0,9032353.0,8091466.0,8532827.0,8351593.0,9500230.0,10646996.0,8370299.0,8193688.0,7915823.0,8329328.0,7898875.0,8696945.0,8571549.0,8527928.0,8565541.0,8989014.0,10210352.0,9962968.0,10299124.0,9869389.0,8868575.0,9023942.0,9094830.0,7623065.0,7883177.0,7781053.0,7604530.0,7909641.0,8411875.0,303823.0,294009.0,291013.0,287158.0,294848.0,312632.0
