,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
17.5,286181.0,288546.0,288292.0,624288.0,611816.0,628313.0,621968.0,627736.0,615001.0,603409.0,597044.0,594654.0,596952.0,594894.0,606725.0,632897.0,634907.0,634419.0,630670.0,630930.0,623470.0,603393.0,591428.0,604514.0,608124.0,608232.0,608235.0
18.0,289953.0,290906.0,293642.0,629849.0,620472.0,639060.0,633790.0,629696.0,621798.0,612425.0,614186.0,601046.0,607688.0,609402.0,614571.0,645900.0,642855.0,642337.0,639412.0,642999.0,632338.0,609953.0,600898.0,611052.0,623311.0,615684.0,621731.0
18.5,288412.0,292835.0,287388.0,631486.0,615945.0,632483.0,623338.0,626126.0,619159.0,607739.0,600849.0,594694.0,611645.0,607226.0,610608.0,638841.0,641356.0,638829.0,634711.0,637931.0,628100.0,611515.0,599908.0,600068.0,609396.0,603759.0,611458.0
19.0,287338.0,293687.0,289622.0,635531.0,626470.0,639033.0,630050.0,636027.0,626750.0,614846.0,608954.0,600983.0,604761.0,610242.0,610826.0,652125.0,648817.0,643207.0,647503.0,643371.0,639153.0,612937.0,599199.0,613019.0,617582.0,614556.0,621732.0
19.5,283159.0,290015.0,288458.0,623592.0,620288.0,628916.0,624595.0,630250.0,618297.0,605764.0,607271.0,601964.0,607647.0,603411.0,606905.0,640718.0,644787.0,638457.0,635845.0,637549.0,633903.0,605409.0,597203.0,601641.0,611688.0,606261.0,614477.0
20.0,288200.0,290782.0,288017.0,638125.0,634157.0,638826.0,637725.0,638969.0,631785.0,615048.0,610969.0,603046.0,604859.0,614742.0,614638.0,651202.0,651218.0,647369.0,639583.0,644922.0,637085.0,610558.0,598426.0,602706.0,616126.0,613663.0,622165.0
20.5,281705.0,283714.0,283249.0,628438.0,626617.0,634466.0,631893.0,632580.0,625528.0,609533.0,607868.0,598422.0,604081.0,602927.0,608403.0,643251.0,646424.0,644706.0,638864.0,643320.0,632757.0,605317.0,595205.0,608025.0,612957.0,609832.0,616211.0
21.0,291449.0,291724.0,289885.0,645023.0,637566.0,641688.0,644549.0,640000.0,631621.0,621659.0,617943.0,611971.0,616585.0,621323.0,619829.0,653630.0,660316.0,651891.0,650421.0,651277.0,642760.0,620846.0,606728.0,613463.0,618033.0,623062.0,622648.0
21.5,284207.0,286951.0,286172.0,643596.0,635979.0,642463.0,636709.0,638602.0,625886.0,608884.0,610614.0,606660.0,612976.0,613017.0,611174.0,651561.0,652570.0,652881.0,647471.0,643944.0,636188.0,611326.0,603733.0,603686.0,615855.0,615527.0,623655.0
22.0,290080.0,289561.0,289195.0,648844.0,642800.0,654438.0,639978.0,647447.0,636573.0,620172.0,613837.0,615745.0,618219.0,624557.0,623821.0,662357.0,662156.0,664971.0,652652.0,653147.0,648912.0,619532.0,606989.0,615409.0,622162.0,623148.0,624078.0
22.5,290313.0,288664.0,289083.0,646132.0,636298.0,647706.0,637436.0,639060.0,630654.0,618898.0,617746.0,608690.0,611510.0,611956.0,615772.0,653679.0,657957.0,652465.0,644427.0,648128.0,641757.0,611672.0,602811.0,607977.0,619863.0,610309.0,618839.0
23.0,283960.0,292942.0,285336.0,645547.0,648448.0,656313.0,646485.0,646721.0,638671.0,619270.0,616897.0,615864.0,618481.0,622620.0,622532.0,659958.0,667361.0,662324.0,648966.0,652764.0,645860.0,617196.0,606223.0,611399.0,622081.0,619647.0,623319.0
23.5,288608.0,289165.0,287055.0,642759.0,639041.0,648003.0,638385.0,638576.0,631110.0,613267.0,613725.0,612078.0,611950.0,612568.0,617361.0,652573.0,660452.0,655077.0,650528.0,649906.0,637812.0,610513.0,599233.0,606293.0,617954.0,615833.0,621463.0
24.0,282254.0,285684.0,288669.0,648286.0,648636.0,645564.0,647205.0,650513.0,638847.0,620156.0,618072.0,610904.0,620503.0,616409.0,621744.0,663005.0,659389.0,663350.0,652644.0,654737.0,648973.0,608537.0,604328.0,608757.0,616366.0,618275.0,630792.0
